FrameworkNumber,Framework,title,Small_description,Description,Benefits
RM6323,Insurance & Related Services 4,,,,
RM6325,Payment Acceptance 2,,,,
RM6328,HPe MoU,,,,
RM6329,"Logistics, Warehousing and Supply Chain Solutions",,,,
RM6331,Healthcare Soft FM,,,,
RM6333,International Healthcare Professional Recruitment and Associated Services,,,,
RM6335,Digital & Legacy Application Services,,,,
RM6336,eDisclosure and Review Services 2,,,,
RM6340,ServiceNow MoU,,,,
RM6342,"Travel, Transport, Accommodation and Venue Solutions",,,,
RM6348,Adult Skills and Learning DPS,,,,
RM6350,"Income Generation from Estates, Assets & IP DPS",,,,
RM6349,Income Generation from Estates & Assets,,,,
RM6351,IBM MoU 2023,,,,
RM6358,AWS One Government Value Agreement OGVAv2,,,,
RM6359,VMo2 MoU,,,,
RM6363,Microsoft SPA24,,,,
RM1557.14L4,G-Cloud 14 Lot 4,,,,
SP-21-053,Supply of Electricity,,,,
